Comment;Designator;Footprint;LCSC; Manufacturer; Manufacturer No; Source; Tolerance; Voltage
2.2뜻;C141,C50,C42,C43,C44,C129,C18,C8,C101,C102,C136,C135,C134,C137,C133,C62,C139,C140,C142,C144,C90,C88,C65;stmbl:C_0603;;;;;X5R;35V
22뜻;C143;stmbl:C_Radial_D6.5_L11_P2.5;;;;;;50V
100n;C19,C30,C127,C138,C40,C78,C79,C82,C83,C2,C7,C10,C9,C128,C58,C41,C15,C60,C63,C147,C106,C105,C96,C108,C107,C103,C104,C99,C121,C122,C120,C53,C54,C55,C56,C17,C112,C72,C74,C75,C13,C36,C113,C115,C114,C125,C71,C73,C76,C12,C37,C116,C118,C117,C126,C91,C94,C95,C100,C130,C98,C89,C87,C86,C85,C84,C80,C77,C29,C16,C119,C1,C61,C66,C67;stmbl:C_0603;;;;;X5R;50V
270뜻;C21,C22;stmbl:C_Radial_D26_L45_P10;;United Chemi-Con;ESMR401VSN271MQ30S;;;400V
150n;C3,C28,C34,C38,C93,C92;stmbl:C_1808;;KEMET;C1808W154KCRACTU;;X7R;500V
1n;C47,C48,C46,C49,C52,C59,C81,C64;stmbl:C_0603;;;;;X5R;50V
18p;C5,C6,C11,C20,C23,C39,C33,C45,C57,C25,C27,C24,C26,C31,C32;stmbl:C_0603;;;;;X5R;50V
10뜻;C51,C35,C68,C69,C4,C97,C70,C145,C14,C110,C109,C111,C123,C124,C132,C131;stmbl:C_0805;;;;;X5R;25V
red;D1,D16;stmbl:LED-0805-SIDE;;Lite-On;LTST-S220KRKT;;;
ES1J R2;D10,D11,D2,D3,D5,D7;stmbl:SMA_Standard;;Micro Commercial Co;ES1J-LTP;;;
yellow;D17;stmbl:LED-0805-SIDE;;Lite-On;LTST-S220KSKT;;;
SMAJ24A TVS 24V;D22;stmbl:SMA_Standard;;STMicroelectronics;SMAJ24A-TR;;;
SS34A;D6,D12,D9,D13;stmbl:SMA_Standard;;Multicomp;SS34A;;;
green;D8,D24,D4,D14,D15,D20,D19,D18;stmbl:LED-0805-SIDE;;Lite-On;LTST-S220KGKT;;;
RJ45_LED;J3,J2,J1;stmbl:RJ45_LED;;METZ CONNECT;AJT34L8813-011;https://de.aliexpress.com/item/Free-shipping-50pcs-lot-RJ45-connector-RJ45-socket-with-indicators-Ethernet/539701403.html;;
220r 700mA;L1,L7,L8,L9,L10,L11,L3;stmbl:R_0603;;Murata;BLM18AG221SN1;https://de.aliexpress.com/item/500-PCS-LOT-patch-magnetic-bead-FB-BLM18AG221SN1-0603-220-r-0-5-A-magnetic-beads/32675343247.html;;
1m 250mA;L2;stmbl:NPI31W;;Coilcraft;DT3316P-105;;;
10뜻H 1A;L4,L6;stmbl:SMD_INDUCTOR_32x25;;Murata;LQH32PN100MNCL;;;
4.7뜻H 1.5A;L5,L12;stmbl:SMD_INDUCTOR_32x25;;Murata;LQH32PN4R7NNC;;;
CONN_02X06;P10;stmbl:Socket_Strip_Angled_2x06;;;;;;
USB_OTG;P11,P1;stmbl:USB_Micro-B;;Molex;105017-0001;https://de.aliexpress.com/item/Wholesale-100Pcs-lot-5-Pins-Micro-USB-SMD-Female-USB-PCB-Connector-Socket-USB-Jack-Plug/1840320498.html;;
CONN_01X04;P12,P7;stmbl:Pin_Header_Straight_1x04;;;;;;
CONN_01X04;P13;stmbl:Socket_Strip_Straight_1x04;;;;;;
CONN_01X04;P14;stmbl:Pin_Header_Angled_1x04;;Molex;901210764; ;;
CONN_01X02;P2,P3,P15;stmbl:RM3.5_1x2;;Phoenix;1844210;;; 
CONN_01X02;P4;stmbl:Pin_Header_Angled_1x02;;;;;;
CONN_01X06;P5,P9;stmbl:RM3.5_1x6;;Phoenix;1844252;;;
CONN_01X02;P6;stmbl:RM5.08_1x2;;Phoenix;1757242;;;
CONN_01X03;P8;stmbl:RM5.08_1x3;;Phoenix;1757255;;;
IRLML6344;Q5,Q1,Q2,Q3,Q4;stmbl:SOT-23;;Infineon;IRLML6344TRPBF;;;
51k;R141,R21,R97,R60,R133;stmbl:R_0603;;;;;1%;
10k;R142,R7,R115,R35,R132,R158,R155,R156,R157,R62,R64,R65,R67,R68,R70,R71,R73,R42,R44,R36,R39,R137,R135,R41,R43,R37,R38,R140,R138,R106,R98,R116;stmbl:R_0603;;;;;1%;
1.5k;R150,R143;stmbl:R_0603;;;;;1%;
1k;R162,R165,R2,R129,R118,R91,R75,R30,R15,R16,R145,R63,R66,R69,R72,R101,R102,R103,R104,R123,R125,R128,R136,R124,R126,R127,R139,R12,R13,R14,R45,R119,R108,R105,R99,R117,R121,R122,R61,R153;stmbl:R_0603;;;;;1%;
22;R163,R167,R151,R152,R154,R159,R160,R86,R89,R147,R87,R88,R148,R9,R10,R11,R40;stmbl:R_0603;;;;;1%;
3.9k;R164,R166,R161,R29,R34,R53,R79,R59,R146,R144,R149,R20,R22,R74;stmbl:R_0603;;;;;1%;
249k;R27,R28,R32,R33,R51,R52,R77,R78;stmbl:R_1206;;;;;1%;
120;R31,R109,R111,R114,R24,R25,R130,R110,R112,R113,R23,R26,R131,R1;stmbl:R_0603;;;;;1%;200V
470;R8,R46,R84,R100,R17,R18,R3,R6,R93,R95,R4,R5,R94,R96,R134,R120,R85,R83,R76;stmbl:R_0603;;;;;1%;
0.003;R80,R81,R82;stmbl:R_2512;;Bourns;CSS2H-2512K-3L00F;;1%;
15k;R92,R19,R58,R90,R107,R47,R55,R50,R56,R48,R54,R49,R57;stmbl:R_0603;;;;;1%;
IRAM256a;U12;stmbl:IRAM256;;Infineon;IRAM256-2067A2;;;
zldo1117;U2;stmbl:SOT-223;;Diodes Incorporated;ZLDO1117G33TA;;;
USBLC6-4SC6;U21,U29,U1,U23,U20,U22;stmbl:SOT-23-6;;STMicroelectronics;USBLC6-4SC6;;;
STM32F303CBTx;U25;stmbl:LQFP-48_7x7mm_Pitch0.5mm;;STMicroelectronics;STM32F303CBT;;;
STM32F405VG;U26;stmbl:LQFP-100_14x14mm_Pitch0.5mm;;STMicroelectronics;STM32F405VGT;;;
SI8621;U3;stmbl:SOIC-8-N;;Silicon Labs;Si8621BB-B-IS;;;
LNK304D;U5;stmbl:SOIC-7;;Power Integrations;LNK304DN; ;;
LM358;U6,U7;stmbl:SOIC-8-N;;Texas Instruments;LM358AD;;;
SN65176B;U8,U9,U10,U11,U14,U17,U18,U15,U16,U19;stmbl:SOIC-8-N;;Texas Instruments;SN65176B;;; 
8M;Y1,Y2;stmbl:Crystal_SMD_0503_4Pads;;Abracon LLC;ABM3B-8.000MHZ-10-1UT;;https://de.aliexpress.com/item/1LOT-10PCS-Crystal-8MHZ-20PF-20PPM-4P-5032-SeriesYSX531SL/32534814045.html;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
heatsink;U33;;;alutronic;V PR138/94-M3; ; ; 
fan;U34;;;Sunon;MB45101V2-000U-A99; ; ;12V
